0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1
,,,"[0, 2, 2, 2, 2, 0, 0, 1, 4, 2, 1, 0, 0, 0, 2, 3, 2, 0, 0]",,,,,,
,,,"[0, 4, 1, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1]",,,,,,
,,,"[0, 5, 1, 3, 0, 2, 1, 1, 1, 3, 3, 2, 2, 1, 1, 2, 1, 0, 0]",,,,,,
,,,"[0, 3, 2, 1, 3, 0, 0, 0, 1, 0, 0, 1, 1, 0, 3, 3, 1, 0, 0]",,,,,,
,,,"[0, 4, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 1, 1, 0, 0]",,,,,,
,,,"[0, 4, 3, 1, 2, 0, 0, 0, 0, 2, 1, 0, 0, 0, 2, 3, 1, 0, 0]",,,,,,
,,,"[0, 5, 1, 2, 2, 0, 0, 2, 2, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0]",,,,,,
,,,"[2, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",,,,,,
,,,"[0, 4, 1, 0, 1, 1, 1, 3, 3, 0, 1, 3, 0, 0, 0, 3, 1, 0, 0]",,,,,,
,,,"[0, 4, 3, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
,,,"[0, 2, 0, 0, 3, 0, 4, 3, 2, 0, 1, 0, 0, 6, 2, 3, 0, 1, 0]",,,,,,
,,,"[1, 5, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
,,,"[1, 2, 2, 4, 2, 2, 4, 4, 3, 3, 1, 0, 0, 0, 0, 1, 1, 0, 0]",,,,,,
,,,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
,,,"[0, 3, 1, 6, 1, 0, 1, 0, 3, 4, 4, 0, 2, 1, 0, 0, 2, 0, 1]",,,,,,
,,,"[0, 3, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
,,,"[0, 4, 1, 1, 0, 0, 1, 4, 2, 0, 1, 1, 2, 2, 0, 3, 1, 2, 0]",,,,,,
,,,"[0, 3, 4, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",,,,,,
,,,"[0, 3, 3, 2, 2, 2, 2, 1, 4, 0, 0, 1, 2, 3, 1, 1, 1, 0, 0]",,,,,,
,,,"[0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",,,,,,
,,,"[0, 4, 1, 2, 1, 0, 0, 1, 2, 3, 1, 0, 0, 0, 1, 1, 3, 0, 0]",,,,,,
,,,"[0, 3, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4, 2, 0, 2]",,,,,,
,,,"[0, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 4, 0, 0]",,,,,,
,,,"[0, 2, 0, 1, 1, 2, 2, 0, 4, 2, 1, 0, 1, 2, 3, 0, 0, 0, 2]",,,,,,
,,,"[0, 3, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0]",,,,,,
,,,"[0, 2, 6, 2, 0, 0, 0, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
,,,"[0, 4, 3, 0, 0, 1, 1, 2, 3, 1, 2, 0, 0, 0, 0, 3, 3, 0, 0]",,,,,,
,,,"[0, 1, 2, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
,,,"[0, 1, 3, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",,,,,,
,,,"[0, 4, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",,,,,,
,,,"[0, 4, 0, 3, 3, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 3, 0, 0, 1]",,,,,,
,,,,"[1, 4, 0, 2, 1, 0, 4, 6, 4, 2, 1, 3, 1, 4, 1, 2, 0, 1, 1]",,,,,
,,,,"[0, 5, 5, 2, 1, 0, 1, 2, 1, 4, 2, 0, 4, 1, 2, 1, 0, 0, 1]",,,,,
,,,,"[0, 5, 4, 2, 2, 0, 0, 1, 0, 0, 2, 4, 2, 4, 3, 4, 1, 0, 1]",,,,,
,,,,"[0, 3, 2, 2, 5, 1, 0, 0, 0, 5, 1, 1, 0, 2, 6, 1, 1, 3, 0]",,,,,
,,,,"[0, 6, 2, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 0, 4, 2, 4, 2, 0]",,,,,
,,,,"[0, 5, 4, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 2, 2, 3, 2]",,,,,
,,,,"[0, 6, 5, 5, 1, 2, 3, 1, 2, 1, 1, 2, 2, 2, 3, 4, 5, 0, 0]",,,,,
,,,,"[0, 2, 4, 1, 3, 0, 1, 1, 3, 3, 2, 1, 5, 3, 4, 1, 1, 0, 0]",,,,,
,,,,"[2, 3, 2, 2, 1, 0, 0, 1, 1, 2, 3, 3, 2, 3, 5, 2, 2, 1, 1]",,,,,
,,,,"[0, 3, 1, 2, 0, 0, 3, 5, 2, 6, 3, 0, 3, 2, 1, 1, 0, 2, 1]",,,,,
,,,,"[0, 3, 3, 2, 3, 0, 0, 2, 3, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0]",,,,,
,,,,"[0, 5, 2, 1, 3, 0, 1, 4, 2, 6, 3, 2, 2, 2, 2, 2, 1, 0, 2]",,,,,
,,,,"[1, 2, 3, 3, 0, 1, 3, 2, 2, 0, 1, 0, 2, 0, 2, 2, 1, 0, 0]",,,,,
,,,,"[0, 5, 1, 2, 3, 6, 5, 4, 6, 7, 2, 0, 1, 3, 1, 3, 1, 2, 1]",,,,,
,,,,"[0, 3, 2, 2, 0, 0, 0, 0, 1, 3, 4, 0, 1, 3, 3, 2, 0, 2, 1]",,,,,
,,,,"[0, 3, 2, 4, 2, 0, 0, 1, 1, 4, 1, 1, 0, 1, 2, 2, 0, 1, 0]",,,,,
,,,,"[0, 5, 1, 6, 1, 0, 0, 1, 0, 5, 0, 1, 0, 0, 1, 2, 6, 0, 1]",,,,,
,,,,"[1, 4, 4, 3, 1, 1, 2, 4, 6, 2, 2, 0, 2, 3, 5, 3, 1, 0, 1]",,,,,
,,,,"[0, 2, 5, 6, 0, 0, 0, 0, 1, 3, 4, 1, 4, 3, 1, 5, 3, 1, 3]",,,,,
,,,,"[0, 4, 1, 7, 3, 1, 2, 0, 4, 4, 1, 0, 2, 1, 1, 2, 2, 0, 1]",,,,,
,,,,"[1, 4, 2, 9, 1, 0, 1, 4, 5, 4, 3, 0, 0, 1, 1, 3, 1, 0, 1]",,,,,
,,,,"[0, 3, 3, 0, 1, 0, 0, 1, 1, 2, 0, 0, 0, 3, 2, 6, 2, 2, 0]",,,,,
,,,,"[0, 4, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 2, 2, 2, 4, 0]",,,,,
,,,,"[0, 2, 4, 3, 0, 0, 0, 1, 1, 1, 7, 3, 1, 3, 0, 1, 1, 0, 0]",,,,,
,,,,"[0, 7, 3, 0, 0, 0, 1, 1, 1, 2, 1, 0, 0, 1, 1, 2, 2, 2, 1]",,,,,
,,,,"[0, 2, 2, 2, 0, 0, 0, 0, 0, 1, 7, 3, 2, 5, 3, 3, 0, 0, 0]",,,,,
,,,,"[0, 5, 4, 5, 1, 0, 0, 1, 3, 1, 0, 1, 0, 0, 0, 2, 2, 0, 0]",,,,,
,,,,"[0, 8, 4, 1, 4, 4, 0, 2, 3, 4, 2, 1, 2, 2, 1, 1, 2, 0, 1]",,,,,
,,,,"[0, 4, 3, 2, 2, 1, 1, 2, 0, 1, 0, 0, 0, 0, 1, 3, 0, 1, 0]",,,,,
,,,,"[0, 5, 4, 4, 3, 1, 1, 1, 2, 3, 6, 3, 4, 5, 9, 5, 3, 3, 1]",,,,,
,,,,"[0, 3, 4, 1, 3, 0, 0, 1, 1, 0, 3, 1, 4, 6, 7, 5, 4, 1, 3]",,,,,
,,,,"[0, 4, 5, 6, 5, 1, 3, 4, 3, 2, 1, 0, 1, 1, 1, 1, 0, 1, 1]",,,,,
,,,,"[0, 4, 4, 2, 0, 0, 2, 1, 0, 1, 2, 0, 4, 2, 3, 1, 0, 1, 0]",,,,,
,,,,"[0, 4, 3, 3, 1, 0, 0, 0, 0, 1, 2, 1, 0, 1, 2, 5, 0, 0, 0]",,,,,
,,,,"[0, 7, 2, 1, 2, 1, 8, 4, 4, 2, 4, 1, 0, 2, 0, 2, 2, 1, 0]",,,,,
,,,,"[0, 6, 1, 2, 2, 3, 0, 0, 0, 1, 1, 1, 0, 1, 2, 3, 1, 0, 0]",,,,,
,,,,"[0, 4, 1, 3, 2, 0, 0, 0, 4, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]",,,,,
,,,,"[1, 7, 2, 2, 2, 1, 0, 2, 0, 2, 4, 1, 1, 3, 5, 2, 3, 0, 1]",,,,,
,,,,"[1, 2, 6, 6, 3, 0, 1, 5, 5, 4, 4, 1, 0, 0, 3, 2, 2, 0, 1]",,,,,
,,,,"[0, 4, 1, 2, 1, 0, 1, 2, 3, 5, 4, 0, 2, 2, 1, 1, 0, 1, 1]",,,,,
,,,,"[0, 9, 4, 7, 4, 0, 1, 4, 6, 3, 4, 1, 3, 0, 2, 2, 3, 0, 0]",,,,,
,,,,"[0, 5, 7, 2, 10, 0, 1, 0, 3, 3, 0, 0, 0, 1, 0, 0, 1, 0, 1]",,,,,
,,,,"[0, 5, 2, 4, 0, 0, 2, 2, 2, 3, 3, 1, 1, 6, 3, 3, 0, 0, 1]",,,,,
,,,,"[1, 3, 3, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,
,,,,"[1, 6, 3, 6, 8, 1, 0, 5, 4, 4, 4, 0, 0, 0, 0, 3, 3, 1, 3]",,,,,
,,,,"[0, 5, 3, 3, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 8, 0, 2, 1]",,,,,
,,,,"[0, 5, 0, 4, 1, 0, 0, 0, 3, 3, 1, 2, 5, 5, 7, 3, 2, 3, 1]",,,,,
,,,,"[0, 4, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 3]",,,,,
,,,,"[1, 2, 3, 0, 3, 1, 1, 0, 1, 0, 3, 0, 1, 1, 2, 3, 2, 2, 2]",,,,,
,,,,"[0, 6, 1, 2, 4, 2, 2, 1, 8, 9, 6, 3, 1, 1, 2, 1, 0, 0, 0]",,,,,
,,,,,"[0, 9, 15, 10, 6, 4, 5, 6, 8, 4, 7, 3, 7, 9, 9, 11, 5, 0, 2]",,,,
,,,,,"[1, 3, 4, 3, 1, 0, 0, 0, 5, 7, 2, 1, 0, 7, 2, 3, 0, 0, 0]",,,,
,,,,,"[1, 8, 5, 5, 4, 5, 2, 4, 3, 1, 0, 0, 0, 2, 5, 5, 1, 2, 1]",,,,
,,,,,"[1, 8, 9, 5, 5, 3, 5, 4, 3, 5, 2, 2, 5, 1, 6, 4, 2, 3, 1]",,,,
,,,,,"[0, 7, 5, 2, 5, 0, 2, 2, 6, 5, 2, 0, 1, 0, 2, 3, 2, 0, 0]",,,,
,,,,,"[1, 7, 6, 5, 5, 4, 4, 6, 4, 5, 1, 3, 3, 3, 2, 2, 2, 1, 3]",,,,
,,,,,"[1, 6, 4, 4, 4, 4, 8, 3, 3, 5, 9, 4, 8, 4, 7, 6, 2, 2, 1]",,,,
,,,,,"[0, 5, 2, 5, 1, 2, 1, 1, 10, 5, 4, 2, 4, 4, 1, 1, 2, 1, 1]",,,,
,,,,,"[0, 7, 3, 3, 5, 9, 8, 5, 1, 1, 2, 2, 3, 1, 3, 3, 2, 0, 0]",,,,
,,,,,"[0, 5, 6, 3, 3, 0, 0, 5, 6, 2, 1, 0, 1, 0, 1, 3, 2, 1, 0]",,,,
,,,,,"[1, 7, 6, 8, 5, 4, 1, 1, 3, 3, 4, 2, 5, 3, 8, 9, 3, 0, 0]",,,,
,,,,,"[0, 6, 4, 4, 2, 1, 0, 2, 4, 1, 5, 2, 1, 1, 2, 7, 3, 0, 5]",,,,
,,,,,"[0, 5, 2, 3, 0, 0, 0, 3, 3, 2, 3, 0, 2, 3, 5, 4, 3, 0, 3]",,,,
,,,,,"[0, 6, 4, 2, 1, 2, 0, 5, 4, 6, 5, 3, 1, 2, 1, 5, 2, 1, 1]",,,,
,,,,,"[0, 6, 3, 1, 2, 1, 2, 1, 6, 4, 4, 3, 10, 4, 4, 2, 3, 1, 1]",,,,
,,,,,"[0, 5, 5, 3, 1, 2, 1, 1, 1, 0, 0, 5, 1, 0, 1, 3, 0, 0, 0]",,,,
,,,,,"[0, 14, 6, 11, 5, 1, 3, 2, 0, 1, 2, 2, 1, 0, 4, 2, 2, 0, 0]",,,,
,,,,,"[0, 8, 7, 5, 4, 1, 6, 2, 6, 4, 3, 1, 3, 2, 2, 3, 3, 1, 1]",,,,
,,,,,"[1, 2, 4, 3, 4, 0, 2, 7, 6, 7, 3, 1, 0, 3, 4, 9, 2, 4, 3]",,,,
,,,,,"[1, 5, 7, 6, 1, 0, 4, 6, 8, 6, 6, 2, 5, 4, 4, 3, 7, 3, 4]",,,,
,,,,,"[0, 6, 0, 3, 2, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 3, 4, 4, 6]",,,,
,,,,,"[1, 6, 9, 6, 2, 0, 3, 9, 7, 3, 3, 3, 4, 6, 1, 5, 2, 1, 1]",,,,
,,,,,"[1, 4, 7, 5, 7, 0, 2, 7, 3, 6, 2, 2, 1, 3, 5, 5, 2, 0, 0]",,,,
,,,,,"[0, 5, 5, 2, 6, 1, 1, 4, 3, 5, 4, 1, 3, 6, 4, 5, 2, 0, 2]",,,,
,,,,,"[0, 7, 5, 2, 3, 0, 0, 2, 3, 5, 5, 0, 1, 8, 3, 2, 1, 0, 0]",,,,
,,,,,"[0, 7, 5, 6, 5, 2, 2, 2, 4, 8, 1, 3, 2, 5, 5, 3, 5, 3, 4]",,,,
,,,,,"[0, 4, 4, 3, 3, 3, 4, 2, 3, 6, 4, 6, 2, 7, 3, 4, 3, 2, 3]",,,,
,,,,,"[0, 6, 3, 2, 1, 0, 0, 0, 0, 3, 2, 5, 3, 6, 5, 4, 2, 2, 4]",,,,
,,,,,"[0, 7, 6, 2, 1, 1, 1, 5, 1, 5, 0, 0, 0, 1, 1, 1, 2, 0, 1]",,,,
,,,,,"[0, 9, 3, 9, 10, 4, 5, 4, 0, 5, 3, 0, 1, 1, 4, 5, 2, 0, 1]",,,,
,,,,,"[1, 4, 1, 1, 0, 0, 0, 1, 4, 6, 4, 2, 6, 7, 2, 2, 2, 2, 2]",,,,
,,,,,"[0, 5, 3, 6, 4, 4, 5, 2, 6, 1, 3, 2, 2, 5, 7, 3, 2, 2, 4]",,,,
,,,,,"[0, 5, 5, 3, 5, 3, 2, 3, 5, 3, 2, 2, 3, 3, 2, 3, 2, 2, 1]",,,,
,,,,,"[1, 6, 6, 4, 4, 4, 7, 4, 4, 3, 1, 0, 2, 3, 3, 3, 1, 0, 1]",,,,
,,,,,"[0, 5, 2, 3, 5, 6, 4, 4, 2, 2, 4, 1, 1, 5, 4, 4, 2, 2, 2]",,,,
,,,,,"[2, 6, 10, 10, 4, 4, 9, 6, 3, 7, 4, 3, 3, 5, 5, 3, 3, 1, 1]",,,,
,,,,,"[0, 10, 6, 3, 2, 1, 2, 3, 5, 6, 4, 1, 3, 0, 2, 2, 2, 0, 2]",,,,
,,,,,"[1, 4, 3, 6, 1, 0, 0, 1, 2, 3, 1, 0, 0, 1, 7, 2, 2, 1, 1]",,,,
,,,,,"[1, 5, 5, 15, 4, 0, 5, 6, 2, 2, 4, 3, 4, 5, 3, 4, 3, 1, 5]",,,,
,,,,,"[1, 9, 9, 4, 7, 1, 4, 2, 4, 4, 0, 1, 0, 2, 4, 2, 1, 1, 2]",,,,
,,,,,"[0, 9, 5, 5, 2, 1, 2, 1, 5, 7, 10, 0, 1, 3, 7, 5, 5, 4, 4]",,,,
,,,,,"[0, 5, 2, 6, 3, 1, 0, 7, 6, 5, 2, 3, 3, 3, 5, 3, 2, 0, 1]",,,,
,,,,,"[2, 6, 3, 2, 6, 0, 2, 8, 10, 4, 2, 1, 1, 2, 3, 3, 2, 1, 2]",,,,
,,,,,"[2, 7, 9, 8, 5, 1, 3, 10, 5, 2, 5, 2, 3, 4, 4, 6, 5, 2, 4]",,,,
,,,,,"[0, 2, 5, 0, 0, 0, 0, 0, 1, 3, 3, 0, 3, 1, 4, 3, 1, 0, 2]",,,,
,,,,,"[0, 7, 1, 10, 3, 0, 3, 2, 6, 5, 2, 1, 3, 1, 3, 2, 3, 2, 4]",,,,
,,,,,"[0, 9, 5, 6, 3, 0, 0, 0, 3, 4, 3, 1, 2, 7, 4, 11, 5, 4, 2]",,,,
,,,,,"[0, 4, 4, 4, 1, 0, 0, 1, 3, 2, 0, 0, 3, 6, 8, 3, 1, 0, 0]",,,,
,,,,,"[0, 3, 4, 5, 2, 4, 3, 0, 2, 5, 3, 0, 2, 2, 3, 2, 1, 1, 1]",,,,
,,,,,"[0, 2, 3, 1, 1, 2, 2, 6, 6, 3, 0, 0, 3, 0, 0, 1, 0, 0, 0]",,,,
,,,,,,"[2, 8, 6, 3, 6, 4, 4, 4, 6, 4, 4, 5, 4, 4, 5, 3, 3, 1, 3]",,,
,,,,,,"[0, 8, 4, 7, 2, 0, 1, 6, 6, 9, 6, 0, 6, 8, 7, 7, 6, 5, 6]",,,
,,,,,,"[1, 5, 5, 2, 1, 0, 1, 2, 2, 3, 4, 0, 1, 5, 8, 6, 11, 3, 8]",,,
,,,,,,"[0, 10, 5, 9, 5, 5, 6, 6, 10, 8, 7, 3, 8, 4, 9, 5, 6, 3, 5]",,,
,,,,,,"[1, 5, 2, 2, 3, 0, 1, 6, 14, 4, 3, 2, 4, 4, 2, 0, 3, 2, 4]",,,
,,,,,,"[1, 7, 9, 10, 11, 8, 13, 7, 7, 9, 5, 4, 6, 5, 9, 5, 4, 3, 6]",,,
,,,,,,"[0, 5, 1, 0, 1, 0, 1, 2, 2, 8, 6, 2, 0, 2, 0, 0, 0, 0, 0]",,,
,,,,,,"[1, 13, 7, 8, 9, 10, 4, 9, 10, 8, 5, 5, 7, 8, 6, 4, 4, 2, 4]",,,
,,,,,,"[0, 5, 3, 7, 1, 0, 3, 6, 11, 8, 4, 1, 3, 3, 4, 3, 2, 1, 3]",,,
,,,,,,"[0, 5, 10, 4, 7, 2, 1, 1, 4, 4, 1, 1, 1, 2, 2, 1, 2, 0, 0]",,,
,,,,,,"[0, 10, 7, 7, 6, 5, 3, 5, 2, 4, 2, 2, 4, 5, 3, 4, 5, 2, 5]",,,
,,,,,,"[0, 10, 4, 7, 3, 7, 8, 5, 9, 5, 2, 3, 2, 6, 5, 4, 4, 3, 4]",,,
,,,,,,"[0, 6, 4, 6, 4, 1, 0, 5, 5, 8, 2, 1, 2, 9, 9, 8, 7, 2, 8]",,,
,,,,,,"[1, 8, 5, 6, 6, 2, 2, 5, 5, 3, 4, 2, 1, 4, 4, 3, 3, 3, 3]",,,
,,,,,,"[0, 14, 6, 14, 6, 2, 4, 4, 2, 2, 2, 2, 4, 2, 3, 2, 2, 2, 1]",,,
,,,,,,"[0, 4, 5, 1, 0, 0, 1, 1, 6, 7, 2, 1, 2, 3, 3, 2, 0, 0, 1]",,,
,,,,,,"[0, 5, 4, 5, 5, 3, 8, 11, 4, 3, 5, 0, 2, 3, 4, 6, 1, 1, 3]",,,
,,,,,,"[0, 4, 3, 4, 1, 0, 4, 4, 5, 8, 6, 7, 6, 6, 5, 3, 3, 1, 1]",,,
,,,,,,"[0, 10, 11, 10, 10, 2, 6, 2, 8, 8, 6, 1, 6, 7, 6, 10, 3, 3, 4]",,,
,,,,,,"[1, 5, 7, 4, 3, 0, 1, 1, 1, 9, 8, 1, 5, 4, 2, 3, 2, 0, 0]",,,
,,,,,,"[1, 7, 5, 6, 2, 1, 7, 10, 8, 12, 4, 1, 4, 5, 6, 7, 1, 5, 6]",,,
,,,,,,"[1, 4, 8, 11, 7, 7, 8, 7, 5, 5, 2, 1, 2, 2, 2, 6, 3, 2, 4]",,,
,,,,,,"[1, 5, 0, 4, 4, 3, 11, 7, 4, 3, 2, 1, 2, 1, 3, 2, 3, 2, 3]",,,
,,,,,,"[1, 10, 14, 7, 6, 3, 7, 9, 5, 4, 4, 2, 6, 7, 8, 6, 2, 2, 3]",,,
,,,,,,"[1, 6, 7, 7, 9, 6, 4, 4, 8, 4, 7, 5, 8, 5, 6, 6, 6, 3, 5]",,,
,,,,,,"[0, 7, 11, 9, 5, 6, 7, 6, 5, 7, 6, 4, 5, 5, 7, 8, 4, 3, 6]",,,
,,,,,,"[0, 10, 4, 3, 7, 0, 2, 10, 7, 3, 2, 2, 2, 3, 3, 4, 1, 1, 3]",,,
,,,,,,"[1, 7, 1, 4, 5, 0, 0, 1, 2, 0, 2, 5, 4, 0, 2, 4, 3, 1, 2]",,,
,,,,,,"[0, 5, 4, 6, 6, 2, 9, 4, 1, 1, 1, 1, 0, 1, 2, 2, 1, 0, 0]",,,
,,,,,,"[1, 9, 7, 6, 5, 2, 8, 6, 3, 6, 2, 1, 2, 2, 2, 3, 3, 1, 4]",,,
,,,,,,"[0, 6, 7, 8, 6, 5, 4, 6, 7, 5, 1, 1, 2, 1, 2, 1, 1, 0, 2]",,,
,,,,,,"[0, 6, 2, 7, 3, 5, 8, 3, 4, 4, 2, 1, 3, 3, 3, 3, 3, 1, 4]",,,
,,,,,,"[1, 5, 6, 2, 1, 2, 5, 7, 6, 4, 7, 5, 4, 6, 5, 3, 4, 2, 2]",,,
,,,,,,"[0, 7, 10, 6, 6, 2, 3, 2, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0]",,,
,,,,,,"[0, 7, 5, 5, 11, 6, 6, 2, 1, 2, 2, 3, 3, 3, 2, 4, 1, 0, 1]",,,
,,,,,,"[0, 3, 1, 3, 1, 0, 1, 2, 4, 2, 2, 1, 5, 1, 2, 2, 0, 0, 0]",,,
,,,,,,"[0, 7, 6, 11, 7, 3, 5, 7, 4, 2, 2, 2, 3, 3, 4, 3, 2, 0, 3]",,,
