,0.08,0.082,0.083,0.084,0.086,0.088
0,"[0, 32, 0, 1, 3, 3, 0, 1, 0, 2, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 3, 0, 0, 2, 1, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 32, 0, 1, 3, 3, 0, 1, 0, 2, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 3, 0, 0, 2, 1, 0, 0, 0]","[0, 44, 6, 8, 14, 10, 9, 8, 9, 12, 7, 9, 13, 8, 9, 12, 8, 10, 8, 11, 8, 12, 8, 8, 8, 11, 8, 10, 14, 8, 8, 9, 12, 8, 8, 6]","[0, 26, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 52, 10, 12, 21, 15, 17, 12, 18, 15, 12, 16, 17, 15, 13, 19, 14, 17, 12, 15, 16, 19, 12, 12, 16, 16, 12, 19, 17, 12, 15, 18, 14, 16, 12, 12]"
1,"[0, 30, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 30, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 30, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 36, 2, 4, 5, 7, 3, 3, 3, 5, 1, 6, 4, 4, 4, 5, 4, 3, 4, 4, 4, 4, 3, 0, 4, 5, 4, 4, 8, 0, 4, 5, 4, 4, 0, 1]","[0, 36, 2, 4, 6, 6, 3, 3, 4, 4, 1, 6, 4, 4, 4, 5, 4, 3, 4, 4, 4, 4, 3, 0, 4, 5, 4, 4, 8, 0, 4, 4, 5, 3, 1, 1]","[0, 58, 13, 15, 28, 17, 23, 15, 22, 20, 15, 20, 22, 19, 20, 20, 22, 18, 15, 23, 17, 26, 15, 15, 21, 21, 16, 24, 21, 15, 20, 24, 18, 17, 15, 21]"
2,"[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 8, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 32, 0, 1, 2, 4, 0, 1, 0, 2, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 2, 1, 0, 2, 1, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 7, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 34, 1, 3, 3, 5, 2, 2, 1, 3, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 2, 3, 1, 0, 3, 2, 3, 3, 5, 0, 3, 3, 3, 1, 0, 0]","[0, 36, 2, 4, 6, 6, 3, 3, 4, 4, 1, 6, 4, 4, 4, 5, 4, 3, 4, 4, 3, 4, 4, 0, 5, 4, 4, 4, 6, 3, 3, 5, 4, 4, 0, 2]"
4,"[0, 30, 1, 1, 2, 4, 0, 0, 0, 2, 0, 2, 2, 0, 2, 2, 1, 0, 1, 1, 0, 2, 0, 0, 0, 1, 1, 2, 4, 0, 0, 2, 0, 1, 0, 0]","[0, 43, 7, 8, 14, 10, 9, 8, 10, 11, 8, 8, 14, 8, 8, 12, 9, 9, 8, 12, 8, 10, 8, 8, 9, 11, 8, 13, 11, 8, 8, 11, 10, 8, 8, 6]","[0, 32, 0, 1, 3, 3, 0, 1, 0, 2, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 1, 2, 1, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 32, 0, 1, 2, 4, 0, 1, 0, 2, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 2, 2, 0, 1, 2, 1, 0, 0, 0]","[2, 56, 13, 15, 28, 17, 23, 15, 20, 22, 15, 20, 22, 19, 20, 20, 20, 20, 16, 20, 20, 24, 15, 15, 22, 20, 17, 25, 20, 16, 18, 24, 18, 20, 15, 17]"
5,"[0, 68, 18, 20, 38, 22, 33, 20, 29, 28, 20, 31, 27, 28, 25, 26, 30, 24, 24, 30, 25, 32, 20, 25, 30, 22, 28, 29, 30, 23, 21, 35, 22, 31, 20, 25]","[0, 30, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 36, 2, 4, 6, 6, 3, 3, 4, 4, 1, 6, 4, 4, 4, 5, 4, 3, 4, 4, 4, 4, 3, 0, 4, 5, 4, 4, 8, 0, 4, 6, 4, 3, 0, 0]","[1, 53, 11, 13, 24, 15, 19, 13, 18, 18, 13, 16, 20, 15, 18, 18, 18, 15, 13, 20, 14, 22, 13, 13, 16, 20, 13, 19, 20, 13, 17, 20, 16, 14, 13, 15]","[0, 30, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 52, 10, 12, 22, 14, 17, 12, 15, 18, 12, 16, 18, 14, 13, 19, 14, 17, 12, 15, 16, 19, 12, 12, 16, 16, 12, 17, 19, 12, 14, 19, 14, 16, 12, 12]"
6,"[0, 24, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 38, 3, 5, 8, 7, 5, 5, 4, 5, 4, 6, 6, 5, 5, 8, 5, 4, 5, 7, 3, 6, 5, 2, 6, 5, 5, 8, 7, 3, 5, 7, 5, 5, 0, 5]","[0, 26, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 11, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 48, 8, 10, 17, 13, 13, 10, 13, 14, 10, 11, 16, 11, 12, 15, 12, 12, 10, 14, 11, 15, 10, 10, 12, 15, 10, 13, 17, 10, 10, 13, 14, 12, 10, 10]","[0, 34, 1, 3, 3, 5, 2, 2, 2, 2, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 1, 3, 2, 0, 3, 2, 3, 3, 5, 0, 3, 3, 3, 0, 0, 0]"
7,"[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 52, 10, 12, 21, 15, 17, 12, 16, 17, 12, 14, 19, 13, 17, 17, 16, 13, 12, 20, 12, 19, 12, 12, 16, 17, 12, 18, 18, 12, 15, 17, 16, 15, 12, 12]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 60, 14, 16, 30, 18, 25, 16, 24, 20, 17, 23, 23, 20, 21, 21, 22, 21, 18, 21, 22, 25, 16, 16, 26, 19, 19, 24, 23, 19, 19, 25, 20, 21, 16, 16]","[0, 34, 1, 3, 4, 4, 2, 2, 1, 3, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 0, 4, 2, 0, 2, 3, 3, 3, 4, 1, 3, 3, 3, 1, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 34, 1, 3, 4, 4, 2, 2, 1, 3, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 2, 3, 1, 0, 3, 2, 3, 4, 4, 0, 3, 3, 3, 1, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 44, 6, 8, 14, 10, 9, 8, 10, 11, 8, 8, 13, 9, 8, 12, 9, 9, 8, 11, 9, 10, 8, 8, 9, 11, 8, 11, 13, 8, 8, 9, 12, 8, 8, 7]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,"[0, 44, 6, 8, 13, 11, 9, 8, 8, 13, 6, 10, 12, 8, 11, 11, 9, 8, 9, 11, 8, 12, 8, 8, 8, 11, 8, 10, 14, 8, 8, 10, 11, 8, 8, 7]","[0, 27, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 36, 2, 4, 6, 6, 3, 3, 4, 4, 1, 6, 4, 4, 4, 5, 4, 3, 4, 4, 4, 4, 3, 0, 4, 5, 4, 4, 8, 0, 4, 4, 5, 4, 0, 1]","[0, 41, 6, 7, 12, 9, 7, 7, 7, 11, 5, 9, 9, 8, 8, 11, 7, 7, 7, 10, 7, 10, 7, 5, 7, 11, 7, 8, 13, 6, 7, 7, 10, 7, 7, 3]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,"[0, 34, 1, 3, 4, 4, 2, 2, 2, 2, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 2, 3, 1, 0, 3, 2, 3, 3, 5, 0, 3, 3, 3, 1, 0, 0]","[1, 33, 1, 3, 4, 4, 2, 2, 2, 2, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 1, 3, 2, 0, 3, 2, 3, 3, 5, 0, 3, 3, 3, 1, 0, 0]","[0, 34, 1, 3, 4, 4, 2, 2, 2, 2, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 2, 3, 1, 0, 3, 2, 3, 3, 5, 0, 3, 3, 3, 1, 0, 0]","[0, 34, 1, 3, 3, 5, 2, 2, 1, 3, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 2, 3, 1, 0, 3, 2, 3, 3, 5, 0, 3, 3, 3, 1, 0, 0]","[0, 54, 11, 13, 24, 15, 19, 13, 18, 18, 13, 16, 20, 14, 20, 16, 19, 15, 13, 20, 14, 22, 13, 13, 17, 19, 13, 20, 19, 13, 17, 17, 18, 17, 13, 13]","[0, 34, 1, 3, 3, 5, 2, 2, 0, 4, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 1, 4, 1, 0, 2, 3, 3, 3, 4, 2, 1, 4, 3, 1, 0, 0]"
11,"[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 34, 1, 3, 4, 4, 2, 2, 1, 3, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 1, 4, 1, 0, 3, 2, 3, 3, 5, 0, 3, 3, 3, 1, 0, 0]","[0, 34, 1, 3, 4, 4, 2, 2, 1, 3, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 2, 3, 1, 0, 2, 3, 3, 3, 5, 0, 3, 3, 3, 1, 0, 0]","[0, 42, 5, 7, 12, 9, 7, 7, 8, 10, 6, 8, 9, 9, 7, 11, 7, 7, 7, 12, 6, 7, 8, 6, 7, 10, 7, 10, 11, 7, 7, 7, 11, 6, 7, 2]","[0, 30, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 54, 11, 13, 23, 16, 19, 13, 18, 18, 13, 16, 21, 14, 18, 18, 16, 17, 13, 21, 13, 21, 13, 17, 14, 18, 15, 20, 19, 13, 15, 23, 13, 14, 14, 17]"
12,"[0, 39, 5, 6, 9, 9, 6, 6, 5, 8, 5, 7, 8, 6, 8, 8, 6, 6, 6, 7, 6, 8, 6, 4, 6, 9, 6, 7, 11, 4, 6, 6, 8, 6, 5, 1]","[0, 34, 1, 3, 3, 5, 2, 2, 1, 3, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 0, 4, 2, 0, 3, 2, 3, 3, 4, 2, 1, 4, 2, 3, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 27, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,"[0, 32, 0, 1, 3, 3, 0, 1, 0, 2, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 3, 0, 0, 2, 1, 0, 0, 0]","[0, 30, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 34, 1, 3, 4, 4, 2, 2, 1, 3, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 2, 3, 1, 0, 3, 2, 3, 3, 5, 0, 3, 4, 2, 1, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 46, 7, 9, 16, 11, 11, 9, 10, 14, 9, 9, 15, 10, 10, 13, 11, 11, 9, 12, 10, 13, 9, 9, 10, 13, 9, 12, 15, 9, 9, 12, 12, 9, 9, 9]"
14,"[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 40, 4, 6, 9, 9, 6, 6, 6, 7, 6, 6, 7, 8, 6, 9, 6, 6, 6, 8, 6, 7, 6, 5, 5, 8, 6, 9, 9, 5, 6, 7, 8, 6, 3, 3]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 57, 17, 16, 27, 21, 23, 16, 23, 23, 16, 23, 23, 19, 22, 22, 21, 21, 17, 23, 20, 25, 17, 16, 25, 20, 19, 27, 20, 18, 19, 25, 20, 21, 16, 21]"
15,"[0, 38, 3, 5, 8, 7, 5, 5, 4, 5, 4, 6, 6, 5, 5, 8, 5, 4, 5, 5, 5, 6, 5, 3, 5, 5, 5, 9, 6, 4, 4, 8, 4, 5, 0, 4]","[0, 24, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 56, 12, 14, 26, 16, 21, 14, 19, 20, 14, 18, 21, 17, 19, 19, 19, 18, 14, 20, 17, 24, 14, 14, 19, 20, 14, 21, 21, 14, 18, 21, 18, 18, 14, 14]","[0, 38, 3, 5, 8, 7, 5, 5, 2, 7, 4, 6, 6, 5, 5, 8, 5, 4, 5, 6, 5, 5, 5, 3, 5, 5, 5, 9, 6, 4, 4, 8, 4, 5, 0, 3]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 58, 13, 15, 28, 17, 23, 15, 21, 21, 15, 20, 23, 18, 20, 20, 20, 20, 15, 22, 18, 26, 15, 15, 21, 21, 16, 22, 22, 16, 21, 21, 20, 18, 15, 18]"
